category_grouped,customer_state,state_share
computers_accessories,MS,0.010591194518911447
computers_accessories,MT,0.00993847734935893
computers_accessories,PA,0.013828313275275983
computers_accessories,PB,0.008407584341336143
computers_accessories,PE,0.014866165132503625
computers_accessories,PI,0.0061637328847590255
computers_accessories,PR,0.04818822381049608
computers_accessories,RJ,0.13335040138264537
computers_accessories,RN,0.003697306150697514
computers_accessories,RO,0.002722109356179737
computers_accessories,RR,0.0006369571342913638
computers_accessories,RS,0.05935703583152966
computers_accessories,SC,0.041399846906003124
computers_accessories,SE,0.004519035140586418
computers_accessories,SP,0.3749486519172961
computers_accessories,TO,0.00475341635628492
consoles_games,AC,0.0018586195154356292
consoles_games,AL,0.01719350069761741
consoles_games,AM,0.0028939892896126655
consoles_games,AP,0.0007925344833618566
consoles_games,BA,0.028817147335434053
consoles_games,CE,0.02090958501954518
consoles_games,DF,0.01516640914732712
consoles_games,ES,0.02234754406686873
consoles_games,GO,0.016100453211713227
consoles_games,MA,0.008844435417186524
consoles_games,MG,0.12807852621264357
consoles_games,MS,0.0034428224504517283
consoles_games,MT,0.008733467887717488
consoles_games,PA,0.014663879815121858
consoles_games,PB,0.006325380121523878
consoles_games,PE,0.036570498271920326
consoles_games,PI,0.011766541869573084
consoles_games,PR,0.04204682090729869
consoles_games,RJ,0.10792256198506475
consoles_games,RN,0.010768700136059354
consoles_games,RO,0.00031206009197718614
consoles_games,RS,0.05123281922996848
consoles_games,SC,0.029119854284969004
consoles_games,SE,0.010641278004145636
consoles_games,SP,0.40076235039157915
consoles_games,TO,0.002688220155883398
construction_tools_construction,AL,0.00937569847189055
construction_tools_construction,BA,0.03522515340365635
construction_tools_construction,CE,0.012840752481017396
construction_tools_construction,DF,0.008009838103830363
construction_tools_construction,ES,0.01890251572042483
construction_tools_construction,GO,0.008946895172735395
construction_tools_construction,MA,0.0004291652602968141
construction_tools_construction,MG,0.12450099886193383
construction_tools_construction,MS,0.011565322071515676
construction_tools_construction,MT,0.0215229937323412
construction_tools_construction,PA,0.003354293899778389
construction_tools_construction,PB,0.0016942194504042352
construction_tools_construction,PE,0.019775867628397416
construction_tools_construction,PI,0.0015803826713516502
construction_tools_construction,PR,0.06341058488999246
construction_tools_construction,RJ,0.1468828057297242
construction_tools_construction,RN,0.011913166728652511
construction_tools_construction,RO,0.009444531415663203
construction_tools_construction,RS,0.039615742052012
construction_tools_construction,SC,0.03457422661723484
construction_tools_construction,SE,0.005111977203687297
construction_tools_construction,SP,0.4113228684334593
construction_tools_lights,BA,0.01982089355948364
construction_tools_lights,CE,0.006559290478754227
construction_tools_lights,DF,0.019855210649394415
construction_tools_lights,ES,0.025952761601025814
construction_tools_lights,GO,0.02418861658974433
construction_tools_lights,MA,0.006805880346376567
construction_tools_lights,MG,0.15769668624316224
construction_tools_lights,MS,0.024046005449636074
construction_tools_lights,MT,0.01677242632100247
construction_tools_lights,PA,0.000988619877609229
construction_tools_lights,PE,0.009973943670654573
construction_tools_lights,PI,0.007170216875788574
construction_tools_lights,PR,0.051681537405627996
construction_tools_lights,RJ,0.07672232747956387
construction_tools_lights,RS,0.05830103691039335
construction_tools_lights,SC,0.038010595144645505
construction_tools_lights,SE,0.0063724986540303055
construction_tools_lights,SP,0.4413340100855256
construction_tools_lights,TO,0.007747442657581201
construction_tools_safety,BA,0.057272214902880154
construction_tools_safety,CE,0.022403933822752176
construction_tools_safety,DF,0.013233515399780767
construction_tools_safety,GO,0.01629534437366998
construction_tools_safety,MG,0.18247389663729585
construction_tools_safety,MS,0.05110245184715055
construction_tools_safety,MT,0.027983326593741132
construction_tools_safety,PB,0.018348483546773747
construction_tools_safety,PE,0.027004323984416927
construction_tools_safety,PR,0.05748317388462748
construction_tools_safety,RJ,0.06860012747500092
construction_tools_safety,RN,0.004286425621665533
construction_tools_safety,RO,0.009048745918573431
construction_tools_safety,RS,0.02962646766052787
construction_tools_safety,SC,0.07030804059588491
construction_tools_safety,SE,0.003269414411152309
construction_tools_safety,SP,0.34126011332410633
cool_stuff,AC,0.0001806330969493148
cool_stuff,AL,0.004375587782344636
cool_stuff,AM,0.0010538641458783015
